Date : 2024-11-30 04:24:15
Directory : d:\Flutterrrr\FlutterProjects\events_jo\lib
Total : 133 files,  10172 codes, 921 comments, 1163 blanks, all 12256 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| features\admin\presentation\cubits\admin approve                                                                                         |          2 |        118 |         22 |         26 |        166 |
| features\admin\presentation\cubits\admin unapprove                                                                                       |          2 |        130 |         27 |         31 |        188 |
| features\admin\presentation\pages                                                                                                        |          7 |        587 |         37 |         80 |        704 |
| features\admin\presentation\pages (Files)                                                                                                |          3 |        136 |          5 |         18 |        159 |
| features\admin\presentation\pages\venues                                                                                                 |          4 |        451 |         32 |         62 |        545 |
| features\admin\presentation\pages\venues\approved                                                                                        |          2 |        219 |         15 |         29 |        263 |
| features\admin\presentation\pages\venues\unapproved                                                                                      |          2 |        232 |         17 |         33 |        282 |
| features\auth                                                                                                                            |         13 |      1,091 |        123 |        182 |      1,396 |
| features\auth\data                                                                                                                       |          1 |        173 |         44 |         57 |        274 |
| features\auth\domain                                                                                                                     |          2 |         50 |          5 |         18 |         73 |
| features\auth\domain\entities                                                                                                            |          1 |         37 |          2 |          7 |         46 |
| features\auth\domain\repos                                                                                                               |          1 |         13 |          3 |         11 |         27 |
| features\auth\representation                                                                                                             |         10 |        868 |         74 |        107 |      1,049 |
| features\auth\representation\components                                                                                                  |          5 |        381 |          8 |         18 |        407 |
| features\auth\representation\cubits                                                                                                      |          2 |         75 |         15 |         21 |        111 |
| features\auth\representation\pages                                                                                                       |          3 |        412 |         51 |         68 |        531 |
| features\home                                                                                                                            |          7 |        628 |         35 |         55 |        718 |
| features\home\presentation                                                                                                               |          7 |        628 |         35 |         55 |        718 |
| features\home\presentation\components                                                                                                    |          4 |        281 |          1 |         13 |        295 |
| features\home\presentation\pages                                                                                                         |          3 |        347 |         34 |         42 |        423 |
| features\location                                                                                                                        |          9 |        502 |         52 |         45 |        599 |
| features\location\data                                                                                                                   |          1 |         23 |          3 |          5 |         31 |
| features\location\domain                                                                                                                 |          2 |         19 |         29 |          6 |         54 |
| features\location\domain\entities                                                                                                        |          1 |         15 |         29 |          4 |         48 |
| features\location\domain\repo                                                                                                            |          1 |          4 |          0 |          2 |          6 |
| features\location\representation                                                                                                         |          6 |        460 |         20 |         34 |        514 |
| features\location\representation\components                                                                                              |          4 |        352 |          6 |         17 |        375 |
| features\location\representation\cubits                                                                                                  |          2 |        108 |         14 |         17 |        139 |
| features\navigation                                                                                                                      |          3 |        310 |         17 |         31 |        358 |
| features\navigation\presentation                                                                                                         |          3 |        310 |         17 |         31 |        358 |
| features\owner                                                                                                                           |         29 |      2,692 |        209 |        261 |      3,162 |
| features\owner\data                                                                                                                      |          1 |        132 |         22 |         24 |        178 |
| features\owner\domain                                                                                                                    |          1 |         27 |          1 |          6 |         34 |
| features\owner\domain\repo                                                                                                               |          1 |         27 |          1 |          6 |         34 |
| features\owner\representation                                                                                                            |         27 |      2,533 |        186 |        231 |      2,950 |
| features\owner\representation\components                                                                                                 |         13 |      1,017 |         25 |         54 |      1,096 |
| features\owner\representation\components (Files)                                                                                         |          9 |        675 |         20 |         38 |        733 |
| features\owner\representation\components\dialogs                                                                                         |          4 |        342 |          5 |         16 |        363 |
| features\owner\representation\cubits                                                                                                     |          2 |        117 |         19 |         21 |        157 |
| features\owner\representation\pages                                                                                                      |         12 |      1,399 |        142 |        156 |      1,697 |
| features\owner\representation\pages (Files)                                                                                              |          1 |        437 |         81 |         53 |        571 |
| features\owner\representation\pages\sub pages                                                                                            |         11 |        962 |         61 |        103 |      1,126 |
| features\weddings                                                                                                                        |         29 |      2,006 |        197 |        217 |      2,420 |
| features\weddings\data                                                                                                                   |          3 |         71 |         15 |         19 |        105 |
| features\weddings\domain                                                                                                                 |          6 |        149 |         13 |         21 |        183 |
| features\weddings\domain\entities                                                                                                        |          3 |        136 |          8 |         14 |        158 |
| features\weddings\domain\repo                                                                                                            |          3 |         13 |          5 |          7 |         25 |
| features\weddings\representation                                                                                                         |         20 |      1,786 |        169 |        177 |      2,132 |
| features\weddings\representation\components                                                                                              |         12 |      1,171 |         54 |         55 |      1,280 |
| features\weddings\representation\components (Files)                                                                                      |          7 |        670 |         20 |         29 |        719 |
| features\weddings\representation\components\details                                                                                      |          5 |        501 |         34 |         26 |        561 |
| features\weddings\representation\cubits                                                                                                  |          6 |        118 |         37 |         54 |        209 |
| features\weddings\representation\cubits\drinks                                                                                           |          2 |         24 |          5 |         12 |         41 |
| features\weddings\representation\cubits\meals                                                                                            |          2 |         23 |          5 |         12 |         40 |
| features\weddings\representation\cubits\venue                                                                                            |          2 |         71 |         27 |         30 |        128 |
| features\weddings\representation\pages                                                                                                   |          2 |        497 |         78 |         68 |        643 |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                 | language | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\Flutterrrr\FlutterProjects\events_jo\lib\config\algorithms\haversine.dart                                                             | Dart     |         40 |          6 |         11 |         57 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\config\algorithms\icon_for_string.dart                                                       | Dart     |         81 |         16 |         15 |        112 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\config\app.dart                                                                              | Dart     |        107 |         24 |          6 |        137 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\config\enums\user type\user_type_enum.dart                                                   | Dart     |         27 |          0 |          3 |         30 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\config\enums\user type\user_type_gate.dart                                                   | Dart     |         32 |          1 |          7 |         40 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\config\firebase_options.dart                                                                 | Dart     |         71 |         12 |          7 |         90 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\custom_icons_icons.dart                                                         | Dart     |         42 |          0 |          4 |         46 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\global_colors.dart                                                              | Dart     |         60 |         16 |         18 |         94 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\global_snack_bar.dart                                                           | Dart     |         32 |          1 |          2 |         35 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\gradient\gradient_range_slider.dart                                             | Dart     |        139 |          0 |         12 |        151 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\gradient\gradient_slider.dart                                                   | Dart     |        118 |          3 |         10 |        131 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\gradient\gradient_text.dart                                                     | Dart     |         25 |          0 |          4 |         29 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\loading\global_loading.dart                                                     | Dart     |         39 |          0 |          3 |         42 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\loading\global_loading_admin.dart                                               | Dart     |         36 |          0 |          3 |         39 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\loading\global_loading_image.dart                                               | Dart     |         15 |          0 |          3 |         18 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\data\firebase_admin_repo.dart                                                 | Dart     |         90 |         14 |         17 |        121 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\domain\repos\admin_repo.dart                                                  | Dart     |         10 |          1 |          8 |         19 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_button.dart                                     | Dart     |         11 |         46 |          3 |         60 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_card.dart                                       | Dart     |         98 |          1 |          4 |        103 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_confirmation_display_row.dart                   | Dart     |        125 |          1 |          5 |        131 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\approved venues\admin_approved_venue_summary.dart     | Dart     |        153 |         15 |         26 |        194 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\approved venues\admin_approved_venues_bar.dart        | Dart     |         65 |          1 |          4 |         70 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\dialogs\admin_actions_dialog.dart                     | Dart     |         47 |          0 |          3 |         50 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\dialogs\admin_drinks_dialog_preview.dart              | Dart     |         84 |          0 |          4 |         88 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\dialogs\admin_images_dialog_preview.dart              | Dart     |         92 |          2 |          4 |         98 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\dialogs\admin_meals_dialog_preview.dart               | Dart     |         85 |          0 |          4 |         89 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\menu_tab_bar.dart                                     | Dart     |         39 |          0 |          3 |         42 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\no_requests_left.dart                                 | Dart     |         37 |          0 |          3 |         40 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\tab_item.dart                                         | Dart     |         26 |         22 |          4 |         52 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\unapproved venues\admin_unapproved_venue_summary.dart | Dart     |        156 |         15 |         26 |        197 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\unapproved venues\admin_upapproved_venues_bar.dart    | Dart     |        113 |          2 |          4 |        119 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\cubits\admin approve\admin_approve_cubit.dart                    | Dart     |        104 |         18 |         17 |        139 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\cubits\admin approve\admin_approve_states.dart                   | Dart     |         14 |          4 |          9 |         27 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\cubits\admin unapprove\admin_unapprove_cubit.dart                | Dart     |        114 |         23 |         20 |        157 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\cubits\admin unapprove\admin_unapprove_states.dart               | Dart     |         16 |          4 |         11 |         31 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\admin_page_for_courts.dart                                 | Dart     |         21 |          0 |          4 |         25 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\admin_page_for_farms.dart                                  | Dart     |         21 |          0 |          4 |         25 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\admin_page_for_venues.dart                                 | Dart     |         94 |          5 |         10 |        109 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\venues\approved\admin_approved_venue_details.dart          | Dart     |        126 |          8 |         20 |        154 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\venues\approved\admin_approved_venues.dart                 | Dart     |         93 |          7 |          9 |        109 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\venues\unapproved\admin_unapproved_venue_details.dart      | Dart     |        131 |          9 |         20 |        160 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\venues\unapproved\admin_unapproved_venues.dart             | Dart     |        101 |          8 |         13 |        122 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\data\firebase_auth_repo.dart                                                   | Dart     |        173 |         44 |         57 |        274 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\domain\entities\app_user.dart                                                  | Dart     |         37 |          2 |          7 |         46 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\domain\repos\auth_repo.dart                                                    | Dart     |         13 |          3 |         11 |         27 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\representation\components\auth_button.dart                                     | Dart     |         69 |          1 |          3 |         73 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\representation\components\auth_text_field.dart                                 | Dart     |         78 |          6 |          4 |         88 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\representation\components\change_user_type_row.dart                            | Dart     |         72 |          0 |          4 |         76 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\representation\components\choose_location_method.dart                          | Dart     |        116 |          1 |          4 |        121 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\representation\components\events_jo_logo_auth.dart                             | Dart     |         46 |          0 |          3 |         49 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\representation\cubits\auth_cubit.dart                                          | Dart     |         62 |          9 |         13 |         84 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\representation\cubits\auth_states.dart                                         | Dart     |         13 |          6 |          8 |         27 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\representation\pages\auth_page.dart                                            | Dart     |         28 |          1 |          6 |         35 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\representation\pages\login_page.dart                                           | Dart     |        111 |         10 |         19 |        140 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\auth\representation\pages\register_page.dart                                        | Dart     |        273 |         40 |         43 |        356 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\home\presentation\components\appbar_button.dart                                     | Dart     |         50 |          0 |          3 |         53 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\home\presentation\components\events_jo_logo.dart                                    | Dart     |         65 |          1 |          3 |         69 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\home\presentation\components\home_card.dart                                         | Dart     |         93 |          0 |          3 |         96 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\home\presentation\components\owner_button.dart                                      | Dart     |         73 |          0 |          4 |         77 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\home\presentation\pages\home_page.dart                                              | Dart     |        142 |         17 |         18 |        177 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\home\presentation\pages\home_page_for_admins.dart                                   | Dart     |         43 |          0 |          4 |         47 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\home\presentation\pages\home_page_for_owners.dart                                   | Dart     |        162 |         17 |         20 |        199 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\location\data\geolocator_location_repo.dart                                         | Dart     |         23 |          3 |          5 |         31 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\location\domain\entities\user_location.dart                                         | Dart     |         15 |         29 |          4 |         48 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\location\domain\repo\location_repo.dart                                             | Dart     |          4 |          0 |          2 |          6 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\location\representation\components\location_loading_dialog.dart                     | Dart     |         57 |          0 |          2 |         59 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\location\representation\components\location_provided_button.dart                    | Dart     |         66 |          0 |          3 |         69 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\location\representation\components\map_dialog.dart                                  | Dart     |        140 |          3 |          5 |        148 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\location\representation\components\map_dialog_preview.dart                          | Dart     |         89 |          3 |          7 |         99 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\location\representation\cubits\location_cubit.dart                                  | Dart     |        100 |         10 |         11 |        121 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\location\representation\cubits\location_states.dart                                 | Dart     |          8 |          4 |          6 |         18 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\navigation\presentation\global_navigation_bar.dart                                  | Dart     |        104 |          5 |         10 |        119 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\navigation\presentation\global_navigation_bar_for_admins.dart                       | Dart     |        100 |          7 |         11 |        118 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\navigation\presentation\global_navigation_bar_for_owners.dart                       | Dart     |        106 |          5 |         10 |        121 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\data\firebase_owner_repo.dart                                                 | Dart     |        132 |         22 |         24 |        178 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\domain\repo\owner_repo.dart                                                   | Dart     |         27 |          1 |          6 |         34 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\date_picker.dart                                    | Dart     |         46 |          5 |          3 |         54 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\dialogs\drinks_dialog_preview.dart                  | Dart     |         86 |          0 |          4 |         90 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\dialogs\image_on_tap_dialog.dart                    | Dart     |         77 |          3 |          4 |         84 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\dialogs\images_dialog_preview.dart                  | Dart     |         94 |          2 |          4 |        100 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\dialogs\meals_dialog_preview.dart                   | Dart     |         85 |          0 |          4 |         89 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\image_card.dart                                     | Dart     |         58 |          1 |          4 |         63 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\owner_confirmation_display_row.dart                 | Dart     |        131 |          2 |          5 |        138 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\owner_drink_card.dart                               | Dart     |         69 |          2 |          6 |         77 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\owner_meal_card.dart                                | Dart     |         69 |          2 |          6 |         77 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\owner_page_bar.dart                                 | Dart     |         45 |          2 |          4 |         51 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\owner_page_bar_handler.dart                         | Dart     |         43 |          2 |          4 |         49 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\owner_page_navigation_bar.dart                      | Dart     |        179 |          3 |          3 |        185 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\components\time_picker.dart                                    | Dart     |         35 |          1 |          3 |         39 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\cubits\owner_cubit.dart                                        | Dart     |        106 |         15 |         16 |        137 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\cubits\owner_states.dart                                       | Dart     |         11 |          4 |          5 |         20 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\owner_page.dart                                          | Dart     |        437 |         81 |         53 |        571 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\sub pages\confirm_and_add_event_to_database_page.dart    | Dart     |        163 |         15 |         23 |        201 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\sub pages\event_added_successfully_page.dart             | Dart     |         34 |          1 |          3 |         38 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\sub pages\select_event_drinks.dart                       | Dart     |        134 |          6 |         11 |        151 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\sub pages\select_event_location_page.dart                | Dart     |         34 |          3 |          4 |         41 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\sub pages\select_event_meals.dart                        | Dart     |        134 |          6 |         11 |        151 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\sub pages\select_event_name_page.dart                    | Dart     |         47 |          2 |          5 |         54 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\sub pages\select_event_type_page.dart                    | Dart     |        138 |         12 |         11 |        161 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\sub pages\select_images_page.dart                        | Dart     |         63 |          5 |          7 |         75 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\sub pages\select_people_range.dart                       | Dart     |         90 |          4 |          7 |        101 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\sub pages\select_range_date_page.dart                    | Dart     |         48 |          3 |          7 |         58 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\sub pages\select_range_time_page.dart                    | Dart     |         77 |          4 |         14 |         95 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\data\firebase_wedding_venue_drinks_repo.dart                               | Dart     |         20 |          4 |          6 |         30 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\data\firebase_wedding_venue_meals_repo.dart                                | Dart     |         20 |          4 |          6 |         30 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\data\firebase_wedding_venue_repo.dart                                      | Dart     |         31 |          7 |          7 |         45 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\domain\entities\wedding_venue.dart                                         | Dart     |         74 |          2 |          4 |         80 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\domain\entities\wedding_venue_drink.dart                                   | Dart     |         31 |          3 |          5 |         39 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\domain\entities\wedding_venue_meal.dart                                    | Dart     |         31 |          3 |          5 |         39 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\domain\repo\weddin_venue_drinks_repo.dart                                  | Dart     |          4 |          1 |          2 |          7 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\domain\repo\wedding_venue_meals_repo.dart                                  | Dart     |          4 |          1 |          2 |          7 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\domain\repo\wedding_venue_repo.dart                                        | Dart     |          5 |          3 |          3 |         11 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\details\venue_date_picker.dart                   | Dart     |         53 |          0 |          4 |         57 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\details\venue_image_slider.dart                  | Dart     |         36 |          0 |          4 |         40 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\details\venue_name_rating_and_location.dart      | Dart     |         65 |          3 |          6 |         74 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\details\venue_people_slider.dart                 | Dart     |        188 |          0 |          5 |        193 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\details\venue_time_picker.dart                   | Dart     |        159 |         31 |          7 |        197 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\drink_card.dart                                  | Dart     |        152 |          2 |          4 |        158 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\empty_card.dart                                  | Dart     |         27 |          1 |          3 |         31 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\meal_card.dart                                   | Dart     |        153 |          2 |          4 |        159 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\venue_card.dart                                  | Dart     |        190 |         13 |          8 |        211 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\venue_details_button.dart                        | Dart     |         50 |          0 |          4 |         54 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\venue_rating.dart                                | Dart     |         44 |          0 |          3 |         47 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\venue_search_bar.dart                            | Dart     |         54 |          2 |          3 |         59 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\cubits\drinks\wedding_venue_meals_cubit.dart                | Dart     |         16 |          1 |          7 |         24 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\cubits\drinks\wedding_venue_meals_states.dart               | Dart     |          8 |          4 |          5 |         17 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\cubits\meals\wedding_venue_meals_cubit.dart                 | Dart     |         15 |          1 |          7 |         23 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\cubits\meals\wedding_venue_meals_states.dart                | Dart     |          8 |          4 |          5 |         17 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\cubits\venue\wedding_venue_cubit.dart                       | Dart     |         59 |         23 |         24 |        106 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\cubits\venue\wedding_venue_states.dart                      | Dart     |         12 |          4 |          6 |         22 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\pages\wedding_venues_details_page.dart                      | Dart     |        368 |         61 |         52 |        481 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\pages\wedding_venues_page.dart                              | Dart     |        129 |         17 |         16 |        162 |
| d:\Flutterrrr\FlutterProjects\events_jo\lib\main.dart                                                                                    | Dart     |         13 |          3 |          5 |         21 |
| Total                                                                                                                                    |          |     10,172 |        921 |      1,163 |     12,256 |
+------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
