Date : 2025-05-16 07:19:31
Directory : d:\Flutterrrr\FlutterProjects\events_jo\lib
Total : 300 files,  10401 codes, 155 comments, 863 blanks, all 11419 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        299 |     10,354 |        155 |        863 |     11,372 |
| Todo     |          1 |         47 |          0 |          0 |         47 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                         |        300 |     10,401 |        155 |        863 |     11,419 |
| . (Files)                                                                                                                                 |          2 |         58 |          0 |          1 |         59 |
| config                                                                                                                                    |         21 |        940 |         26 |        116 |      1,082 |
| config (Files)                                                                                                                            |          1 |         48 |         -3 |         -1 |         44 |
| config\algorithms                                                                                                                         |          1 |         36 |          0 |          4 |         40 |
| config\enums                                                                                                                              |          2 |         64 |          0 |          6 |         70 |
| config\extensions                                                                                                                         |          6 |        162 |         11 |         27 |        200 |
| config\packages                                                                                                                           |          1 |         49 |          0 |          5 |         54 |
| config\packages\from to picker                                                                                                            |          1 |         49 |          0 |          5 |         54 |
| config\theme                                                                                                                              |          2 |        159 |          3 |         12 |        174 |
| config\theme (Files)                                                                                                                      |          1 |        144 |          3 |         10 |        157 |
| config\theme\themes                                                                                                                       |          1 |         15 |          0 |          2 |         17 |
| config\utils                                                                                                                              |          8 |        422 |         15 |         63 |        500 |
| config\utils (Files)                                                                                                                      |          6 |        401 |         15 |         62 |        478 |
| config\utils\loading                                                                                                                      |          2 |         21 |          0 |          1 |         22 |
| features                                                                                                                                  |        277 |      9,403 |        129 |        746 |     10,278 |
| features\admin                                                                                                                            |         65 |      1,418 |        152 |        326 |      1,896 |
| features\admin\data                                                                                                                       |          1 |        188 |         14 |         34 |        236 |
| features\admin\domain                                                                                                                     |          1 |         22 |          0 |         13 |         35 |
| features\admin\domain\repos                                                                                                               |          1 |         22 |          0 |         13 |         35 |
| features\admin\presentation                                                                                                               |         63 |      1,208 |        138 |        279 |      1,625 |
| features\admin\presentation\components                                                                                                    |         28 |        -80 |          1 |         46 |        -33 |
| features\admin\presentation\components (Files)                                                                                            |         17 |        -59 |         -4 |          6 |        -57 |
| features\admin\presentation\components\approved courts                                                                                    |          2 |        133 |         10 |         24 |        167 |
| features\admin\presentation\components\approved venues                                                                                    |          3 |        -98 |         -4 |         -2 |       -104 |
| features\admin\presentation\components\owners                                                                                             |          1 |        -52 |         -4 |         -3 |        -59 |
| features\admin\presentation\components\unapproved courts                                                                                  |          2 |        165 |         11 |         24 |        200 |
| features\admin\presentation\components\unapproved venues                                                                                  |          2 |       -117 |         -4 |         -1 |       -122 |
| features\admin\presentation\components\users                                                                                              |          1 |        -52 |         -4 |         -2 |        -58 |
| features\admin\presentation\cubits                                                                                                        |         16 |        489 |         86 |        120 |        695 |
| features\admin\presentation\cubits\courts                                                                                                 |          4 |        358 |         78 |         82 |        518 |
| features\admin\presentation\cubits\courts\approved                                                                                        |          2 |        174 |         36 |         39 |        249 |
| features\admin\presentation\cubits\courts\unapproved                                                                                      |          2 |        184 |         42 |         43 |        269 |
| features\admin\presentation\cubits\order                                                                                                  |          2 |         91 |          1 |         22 |        114 |
| features\admin\presentation\cubits\single court                                                                                           |          2 |         40 |          7 |         16 |         63 |
| features\admin\presentation\cubits\venues                                                                                                 |          8 |          0 |          0 |          0 |          0 |
| features\admin\presentation\cubits\venues\approve                                                                                         |          2 |       -171 |        -35 |        -39 |       -245 |
| features\admin\presentation\cubits\venues\approved                                                                                        |          2 |        171 |         35 |         39 |        245 |
| features\admin\presentation\cubits\venues\unapprove                                                                                       |          2 |       -179 |        -42 |        -43 |       -264 |
| features\admin\presentation\cubits\venues\unapproved                                                                                      |          2 |        179 |         42 |         43 |        264 |
| features\admin\presentation\pages                                                                                                         |         19 |        799 |         51 |        113 |        963 |
| features\admin\presentation\pages (Files)                                                                                                 |          4 |        389 |          9 |         43 |        441 |
| features\admin\presentation\pages\courts                                                                                                  |          4 |        429 |         42 |         67 |        538 |
| features\admin\presentation\pages\courts\approved                                                                                         |          2 |        199 |         17 |         28 |        244 |
| features\admin\presentation\pages\courts\unapproved                                                                                       |          2 |        230 |         25 |         39 |        294 |
| features\admin\presentation\pages\owners                                                                                                  |          1 |         -6 |          0 |          0 |         -6 |
| features\admin\presentation\pages\users                                                                                                   |          2 |         -4 |          0 |          0 |         -4 |
| features\admin\presentation\pages\venues                                                                                                  |          8 |         -9 |          0 |          3 |         -6 |
| features\admin\presentation\pages\venues\approved                                                                                         |          4 |         -4 |          0 |          2 |         -2 |
| features\admin\presentation\pages\venues\unapproved                                                                                       |          4 |         -5 |          0 |          1 |         -4 |
| features\auth                                                                                                                             |          5 |         13 |          2 |          3 |         18 |
| features\auth\data                                                                                                                        |          1 |          0 |          1 |          0 |          1 |
| features\auth\domain                                                                                                                      |          1 |         11 |          0 |          1 |         12 |
| features\auth\domain\entities                                                                                                             |          1 |         11 |          0 |          1 |         12 |
| features\auth\representation                                                                                                              |          3 |          2 |          1 |          2 |          5 |
| features\auth\representation\components                                                                                                   |          1 |          4 |          0 |          0 |          4 |
